,Product Name,Prices,Description,Ratings,Reviews
155,"APPLE iPhone 12 Pro Max (Graphite, 256 GB)","₹1,29,900","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year",4.5,"1,272 Ratings & 102 Reviews"
156,"APPLE iPhone 12 mini (Purple, 64 GB)","₹59,900",64 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIP68 Water ResistanceAll Screen OLED DisplayBrand Warranty for 1 Year,4.5,"1,30,293 Ratings & 10,296 Reviews"
157,"APPLE iPhone 12 mini (Blue, 128 GB)","₹64,900","128 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.5,"1,30,293 Ratings & 10,296 Reviews"
158,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)","₹1,34,900","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"2,338 Ratings & 171 Reviews"
159,"APPLE iPhone 12 mini (White, 64 GB)","₹59,900","64 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.5,"1,30,293 Ratings & 10,296 Reviews"
160,"APPLE iPhone 12 mini (Blue, 64 GB)","₹59,900","64 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.5,"1,30,293 Ratings & 10,296 Reviews"
161,"APPLE iPhone 5C (White, 32 GB)","₹53,500",32 GB ROM10.16 cm (4 inch) Retina Display8MP Rear Camera | 1.2MP Front CameraA6 Chip Processor1 Year Manufacturer Warranty,3.9,"1,327 Ratings & 265 Reviews"
162,"APPLE iPhone 5C (Blue, 16 GB)","₹41,900",16 GB ROM10.16 cm (4 inch) Retina Display8MP Rear Camera | 1.2MP Front CameraA6 Chip Processor1 Year Manufacturer Warranty,3.9,"1,327 Ratings & 265 Reviews"
163,"APPLE iPhone 5C (White, 8 GB)","₹14,999",8 GB ROM10.16 cm (4 inch) Retina Display8MP Rear Camera | 1.2MP Front CameraA6 Chip Processor1 Year Manufacturer Warranty,3.9,"1,327 Ratings & 265 Reviews"
164,"APPLE iPhone 5C (Blue, 8 GB)","₹14,999",8 GB ROM10.16 cm (4 inch) Retina Display8MP Rear Camera | 1.2MP Front CameraA6 Chip Processor1 Year Manufacturer Warranty,3.9,"1,327 Ratings & 265 Reviews"
165,"APPLE iPhone 5C (Green, 16 GB)","₹41,900",16 GB ROM10.16 cm (4 inch) Retina Display8MP Rear Camera | 1.2MP Front CameraA6 Chip Processor1 Year Manufacturer Warranty,3.9,"1,327 Ratings & 265 Reviews"
166,"APPLE iPhone 5s (Gold, 16 GB)","₹14,999",16 GB ROM10.16 cm (4 inch) Retina Display8MP Rear Camera | 1.2MP Front CameraApple A7 64-bit processor and M7 Motion Co-processor1 Year for Mobile & Accessories,4.4,"62,791 Ratings & 7,329 Reviews"
167,"APPLE iPhone 13 Pro (Gold, 1 TB)","₹1,69,900",1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
168,"APPLE iPhone 13 Pro (Alpine Green, 1 TB)","₹1,69,900",1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
169,"APPLE iPhone 13 Pro (Sierra Blue, 512 GB)","₹1,49,900",512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
170,"Apple iPhone XR (Coral, 256 GB) (Includes EarPods, Power Adapter)","₹91,900",256 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
171,"APPLE iPhone 11 Pro (Silver, 512 GB)","₹1,40,300",512 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"8,696 Ratings & 630 Reviews"
172,"APPLE iPhone 7 Plus (Gold, 256 GB)","₹85,400",256 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
173,"APPLE iPhone 13 Pro Max (Gold, 512 GB)","₹1,59,900",512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,053 Ratings & 199 Reviews"
174,"APPLE iPhone 14 Plus ((PRODUCT)RED, 512 GB)","₹96,999","512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"58,235 Ratings & 3,417 Reviews"
175,"APPLE iPhone 13 Pro Max (Sierra Blue, 512 GB)","₹1,59,900",512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,053 Ratings & 199 Reviews"
176,"APPLE iPhone 13 Pro (Alpine Green, 512 GB)","₹1,49,900",512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
177,"APPLE iPhone 13 mini (Midnight, 256 GB)","₹74,900",256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.5,"3,772 Ratings & 329 Reviews"
178,"APPLE iPhone 11 Pro (Space Grey, 512 GB)","₹1,40,300",512 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"8,696 Ratings & 630 Reviews"
179,"APPLE iPhone 13 Pro (Graphite, 512 GB)","₹1,49,900",512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
180,"APPLE iPhone 13 Pro Max (Silver, 512 GB)","₹1,59,900",512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,053 Ratings & 199 Reviews"
181,"APPLE iPhone 7 (Silver, 128 GB)","₹34,900",128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
182,"APPLE iPhone 6s (Rose Gold, 128 GB)","₹55,999",128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.5,"93,138 Ratings & 9,221 Reviews"
183,"APPLE iPhone 7 Plus (Silver, 128 GB)","₹42,900",128 GB ROM13.94 cm (5.488 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
184,"APPLE iPhone 6s (Space Grey, 64 GB)","₹49,999",64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.5,"93,138 Ratings & 9,221 Reviews"
185,"APPLE iPhone 7 Plus (Rose Gold, 256 GB)","₹85,400",256 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
186,"APPLE iPhone 13 Pro Max (Sierra Blue, 256 GB)","₹1,39,900",256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,053 Ratings & 199 Reviews"
187,"Apple iPhone XR (Blue, 128 GB) (Includes EarPods, Power Adapter)","₹52,900",128 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
188,"APPLE iPhone 7 (Silver, 256 GB)","₹74,400",256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
189,"APPLE iPhone 6s Plus (Space Grey, 64 GB)","₹59,999",64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.4,"18,839 Ratings & 2,367 Reviews"
190,"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)","₹47,900",64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
191,"APPLE iPhone 13 Pro Max (Alpine Green, 512 GB)","₹1,59,900",512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,053 Ratings & 199 Reviews"
192,"APPLE iPhone 11 Pro (Gold, 512 GB)","₹1,40,300",512 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"8,696 Ratings & 630 Reviews"
193,"APPLE iPhone 7 Plus (Red, 128 GB)","₹42,900",128 GB ROM13.94 cm (5.488 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
194,"APPLE iPhone 13 mini (Starlight, 512 GB)","₹94,900",512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.5,"3,772 Ratings & 329 Reviews"
195,"APPLE iPhone SE 3rd Gen (Starlight, 256 GB)","₹64,900","256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA15 Bionic Chip, 6 Core Processor ProcessorBrand Warranty of 1 Year",4.4,"1,348 Ratings & 134 Reviews"
196,"APPLE iPhone SE 3rd Gen (Product (Red), 256 GB)","₹64,900","256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA15 Bionic Chip, 6 Core Processor ProcessorBrand Warranty of 1 Year",4.4,"1,348 Ratings & 134 Reviews"
197,"Apple iPhone XR (White, 256 GB) (Includes EarPods, Power Adapter)","₹91,900",256 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
198,"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900",256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
199,"APPLE iPhone SE 3rd Gen (Midnight, 64 GB)","₹49,900","64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA15 Bionic Chip, 6 Core Processor ProcessorBrand Warranty of 1 Year",4.4,"1,348 Ratings & 134 Reviews"
200,"APPLE iPhone XR (Blue, 64 GB)","₹47,900","64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Face ID for Secure AuthenticationFast-charge CapableBrand Warranty of 1 Year",4.6,"1,01,049 Ratings & 8,541 Reviews"
201,"APPLE iPhone 7 Plus (Jet Black, 32 GB)","₹37,900",32 GB ROM13.94 cm (5.488 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor1 Year Manufacturer Warranty,4.5,"29,851 Ratings & 2,991 Reviews"
202,"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)","₹1,31,900",256 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,103 Ratings & 100 Reviews"
203,"APPLE iPhone 7 Plus (Silver, 256 GB)","₹85,400",256 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
204,"APPLE iPhone 7 (Red, 128 GB)","₹34,900",128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
205,"APPLE iPhone 13 Pro (Graphite, 1 TB)","₹1,69,900",1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
206,"APPLE iPhone 13 mini (Blue, 512 GB)","₹94,900",512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.5,"3,772 Ratings & 329 Reviews"
207,"APPLE iPhone 6s Plus (Silver, 64 GB)","₹59,999",64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.4,"18,839 Ratings & 2,367 Reviews"
208,"Apple iPhone XR (Yellow, 64 GB) (Includes EarPods, Power Adapter)","₹47,900",64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
209,"APPLE iPhone 6s (Silver, 16 GB)","₹41,999",16 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.5,"93,138 Ratings & 9,221 Reviews"
210,"APPLE iPhone 6s (Silver, 64 GB)","₹49,999",64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.5,"93,138 Ratings & 9,221 Reviews"
211,"APPLE iPhone XR (Yellow, 64 GB)","₹47,900",64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
212,"APPLE iPhone 8 (PRODUCT)RED (Red, 256 GB)","₹81,500","256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year",4.7,113 Ratings & 10 Reviews
213,"APPLE iPhone 7 (Rose Gold, 256 GB)","₹74,400",256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
214,"APPLE iPhone XR (Yellow, 128 GB)","₹52,900","128 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Face ID for Secure AuthenticationFast-charge CapableBrand Warranty of 1 Year",4.6,"1,01,049 Ratings & 8,541 Reviews"
215,"APPLE iPhone 14 Pro (Silver, 1 TB)","₹1,69,900","1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"2,117 Ratings & 152 Reviews"
216,"APPLE iPhone 7 (Rose Gold, 32 GB)","₹31,500",32 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processoriOS 13 CompatibleBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
217,"APPLE iPhone 7 Plus (Jet Black, 256 GB)","₹85,400",256 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
218,"APPLE iPhone 13 mini ((PRODUCT)RED, 256 GB)","₹74,900",256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.5,"3,772 Ratings & 329 Reviews"
219,"APPLE iPhone 11 Pro (Midnight Green, 512 GB)","₹1,40,300",512 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"8,696 Ratings & 630 Reviews"
220,"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)","₹91,900",256 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
221,"APPLE iPhone 11 Pro Max (Silver, 64 GB)","₹1,17,100",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,103 Ratings & 100 Reviews"
222,"APPLE iPhone 6s Plus (Space Grey, 32 GB)","₹34,900",32 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year,4.4,"18,839 Ratings & 2,367 Reviews"
223,"APPLE iPhone 13 mini (Midnight, 512 GB)","₹94,900",512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.5,"3,772 Ratings & 329 Reviews"
224,"APPLE iPhone 13 Pro (Silver, 512 GB)","₹1,49,900",512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
225,"APPLE iPhone 11 Pro (Silver, 64 GB)","₹1,06,600",64 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"8,696 Ratings & 630 Reviews"
226,"APPLE iPhone 6s (Silver, 128 GB)","₹55,999",128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.5,"93,138 Ratings & 9,221 Reviews"
227,"APPLE iPhone 13 Pro Max (Graphite, 256 GB)","₹1,39,900",256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,053 Ratings & 199 Reviews"
228,"APPLE iPhone 13 mini (Pink, 256 GB)","₹74,900",256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.5,"3,772 Ratings & 329 Reviews"
229,"APPLE iPhone 7 (Gold, 256 GB)","₹74,400",256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
230,"APPLE iPhone 7 (Jet Black, 256 GB)","₹74,400",256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
231,"APPLE iPhone 6s Plus (Space Grey, 128 GB)","₹92,000",128 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.4,"18,839 Ratings & 2,367 Reviews"
232,"APPLE iPhone 6s Plus (Rose Gold, 64 GB)","₹59,999",64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.4,"18,839 Ratings & 2,367 Reviews"
233,"APPLE iPhone 14 Pro (Space Black, 1 TB)","₹1,69,900","1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"2,117 Ratings & 152 Reviews"
234,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹47,900",64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
235,"APPLE iPhone 7 Plus (Jet Black, 128 GB)","₹42,900",128 GB ROM13.94 cm (5.488 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
236,"APPLE iPhone 7 (Silver, 32 GB)","₹31,500",32 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processoriOS 13 CompatibleBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
237,"APPLE iPhone 7 (Gold, 32 GB)","₹31,500",32 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processoriOS 13 CompatibleBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
238,"APPLE iPhone 11 Pro Max (Silver, 256 GB)","₹1,31,900",256 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,103 Ratings & 100 Reviews"
239,"Apple iPhone XR (Blue, 256 GB) (Includes EarPods, Power Adapter)","₹91,900",256 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
